"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-19",,"96","83"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-20",,"93","81"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-21",,"89","76"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-22",,"86","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-23",,"87","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-24",,"83","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-25",,"68","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-26",,"83","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-27",,"82","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-28",,"78","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-29",,"85","69"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-30",,"83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-07-31",,"83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-01",,"76","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-02",,"83","67"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-03",,"78","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-04",,"80","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-05",,"78","62"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-06",,"82","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-07",,"80","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-08",,"81","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-09",,"85","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-10",,"83","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-11",,"81","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-12",,"82","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-13",,"77","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-14",,"74","61"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-15",,"78","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-16",,"82","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-17",,"84","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-18",,"76","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-19",,"79","66"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-20",,"88","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-21",,"90","72"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-22",,"78","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-23",,"82","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-24",,"80","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-25",,"83","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-26",,"84","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-27",,"87","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-28",,"86","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-29",,"80","71"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-30",,"85","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-08-31",,"86","73"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-01",,"84","75"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-02",,"82","74"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-03",,"82","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-04",,"82","65"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-05",,"80","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-06",,"72","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-07",,"80","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-08",,"83","64"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-09",,"73","57"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-10",,"87","68"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-11",,"96","77"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-12",,"87","70"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-13",,"77","59"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-09-14",,"67","54"
